SID,wave,age
TAG001,1,12.28210195
TAG001,2,13.80273973
TAG001,3,15.29315068
TAG002,1,11.81693989
TAG002,2,13.36438356
TAG002,3,14.80055393
TAG003,1,12.54918033
TAG003,2,14.10410959
TAG003,3,15.58630137
TAG004,1,12.1725204
TAG004,2,13.66849315
TAG004,3,15.15890411
TAG005,1,10.76775956
TAG005,2,12.2739726
TAG005,3,13.73150685
TAG006,1,11.94808743
TAG006,2,NA
TAG006,3,NA
TAG007,1,12.58227412
TAG007,2,14.15342466
TAG007,3,15.67123288
TAG008,1,11.93169399
TAG008,2,13.44657534
TAG008,3,14.91538289
TAG009,1,12.55464481
TAG009,2,14.12876712
TAG009,3,15.6
TAG010,1,11.88797814
TAG010,2,13.46210046
TAG010,3,14.93881279
TAG011,1,12.4726776
TAG011,2,14.1260274
TAG011,3,15.61643836
TAG012,1,12.7299199
TAG012,2,NA
TAG012,3,NA
TAG013,1,11.88251366
TAG013,2,NA
TAG013,3,NA
TAG014,1,12.1284153
TAG014,2,13.70906505
TAG014,3,15.14794521
TAG015,1,10.04918033
TAG015,2,11.97808219
TAG015,3,13.65205479
TAG016,1,12.42702298
TAG016,2,14.0109589
TAG016,3,15.50684932
TAG017,1,11.54098361
TAG017,2,13.19726027
TAG017,3,14.74760087
TAG018,1,12.15605959
TAG018,2,13.91232877
TAG018,3,15.69589041
TAG019,1,12.38066472
TAG019,2,14.01643836
TAG019,3,15.6
TAG020,1,11.66120219
TAG020,2,13.24383562
TAG020,3,14.76820121
TAG022,1,11.98087432
TAG022,2,13.54520548
TAG022,3,15.03835616
TAG023,1,11.63013699
TAG023,2,13.44931507
TAG023,3,NA
TAG024,1,10.97260274
TAG024,2,12.33972603
TAG024,3,14.55890411
TAG026,1,12.24905307
TAG026,2,13.73424658
TAG026,3,15.16164384
TAG027,1,12.81237368
TAG027,2,14.35616438
TAG027,3,15.84931507
TAG028,1,11.94535519
TAG028,2,13.95918108
TAG028,3,15.5369863
TAG030,1,10.67924246
TAG030,2,12.14794521
TAG030,3,13.73424658
TAG032,1,12.08750655
TAG032,2,14.07671233
TAG032,3,15.6109589
TAG033,1,12.10384011
TAG033,2,13.62191781
TAG033,3,15.23561644
TAG034,1,11.8852459
TAG034,2,13.42739726
TAG034,3,14.92950071
TAG035,1,12.1888315
TAG035,2,13.70136986
TAG035,3,15.19452055
TAG036,1,12.5500786
TAG036,2,14.38630137
TAG036,3,15.88493151
TAG037,1,11.66666667
TAG037,2,13.28493151
TAG037,3,14.80665469
TAG038,1,10.11202186
TAG038,2,11.71232877
TAG038,3,13.14794521
TAG040,1,11.34699454
TAG040,2,12.87671233
TAG040,3,14.37808219
TAG041,1,12.05737705
TAG041,2,13.6630137
TAG041,3,15.15890411
TAG042,1,12.27612097
TAG042,2,14.11780822
TAG042,3,15.63561644
TAG044,1,11.19125683
TAG044,2,12.77260274
TAG044,3,14.29041096
TAG045,1,10.7749083
TAG045,2,12.4739726
TAG045,3,14.15342466
TAG046,1,10.37978142
TAG046,2,11.91780822
TAG046,3,13.45479452
TAG047,1,11.6557377
TAG047,2,13.19452055
TAG047,3,14.70684932
TAG048,1,12.20765027
TAG048,2,13.76343289
TAG048,3,15.25753425
TAG049,1,11.4726776
TAG049,2,12.98082192
TAG049,3,14.48767123
TAG050,1,12.6843626
