SID,FSMI_7_37,FSMI_7_38,FSMI_7_39,FSMI_7_40,FSMI_7_41,FSMI_7_42,mate_seeking,survey_date
TAG001,2,2,3,3,3,2,2.5,2/18/19
TAG003,4,3,4,3,4,4,3.666666667,10/5/19
TAG005,2,2,6,6,2,2,3.333333333,10/28/19
TAG007,1,1,7,7,7,1,4,8/20/19
TAG008,6,6,1,3,2,6,4,2/10/19
TAG009,2,6,6,5,6,6,5.166666667,11/9/19
TAG010,1,1,4,1,2,1,1.666666667,9/8/19
TAG011,NA,NA,NA,NA,NA,NA,NA,10/6/19
TAG014,4,4,4,4,4,4,4,2/2/20
TAG015,2,2,3,2,3,2,2.333333333,1/5/20
TAG016,3,3,2,1,3,2,2.333333333,4/13/19
TAG018,3,1,5,2,2,1,2.333333333,8/28/19
TAG019,5,6,4,3,5,5,4.666666667,5/18/19
TAG020,4,5,4,4,4,4,4.166666667,3/30/19
TAG022,2,4,4,2,2,4,3,3/27/19
TAG024,NA,NA,NA,NA,NA,NA,NA,2/28/21
TAG026,5,4,6,6,6,4,5.166666667,2/3/19
TAG027,5,6,6,2,5,5,4.833333333,8/6/19
TAG028,5,1,7,1,4,1,3.166666667,9/28/19
TAG030,2,2,1,1,1,1,1.333333333,4/7/19
TAG032,5,3,3,6,3,2,3.666666667,8/28/19
TAG033,5,6,5,NA,6,5,5.4,4/27/19
TAG034,6,6,6,5,6,5,5.666666667,4/6/19
TAG035,7,7,7,7,7,7,7,3/22/19
TAG036,1,1,3,3,4,4,2.666666667,9/3/19
TAG037,2,6,5,4,3,5,4.166666667,4/29/19
TAG038,2,2,6,2,2,2,2.666666667,9/25/19
TAG040,3,1,3,1,2,1,1.833333333,10/20/19
TAG041,5,5,7,6,6,5,5.666666667,6/8/19
TAG042,2,1,6,7,1,1,3,8/25/19
TAG044,5,5,6,3,5,5,4.833333333,5/19/19
TAG045,4,4,4,4,4,4,4,8/13/19
TAG046,4,4,4,4,4,4,4,11/16/19
TAG047,4,1,7,7,1,1,3.5,10/12/19
TAG048,4,7,6,5,7,7,6,1/4/20
TAG049,4,5,5,4,4,4,4.333333333,9/22/19
TAG050,2,5,4,1,4,2,3,5/25/19
TAG051,1,1,4,1,1,1,1.5,4/28/19
TAG052,4,3,3,2,3,2,2.833333333,8/14/19
TAG053,6,6,6,2,6,6,5.333333333,7/2/19
TAG054,NA,NA,NA,NA,NA,NA,NA,7/15/19
TAG055,1,1,1,1,1,1,1,6/1/19
TAG056,3,1,6,1,4,1,2.666666667,9/22/19
TAG057,1,1,1,1,1,1,1,4/20/19
TAG058,1,3,4,1,3,1,2.166666667,6/2/19
TAG059,5,6,6,4,4,2,4.5,7/24/19
TAG060,4,2,6,2,2,2,3,5/5/19
TAG062,5,4,4,4,4,4,4.166666667,9/23/19
TAG064,2,5,6,2,5,5,4.166666667,6/27/19
TAG065,2,1,4,5,6,1,3.166666667,7/2/19
TAG066,4,5,4,3,5,4,4.166666667,7/27/19
TAG067,3,5,6,5,5,4,4.666666667,5/18/19
TAG068,3,5,6,4,5,5,4.666666667,1/5/20
TAG069,1,1,1,1,1,1,1,5/11/19
TAG070,4,4,4,4,4,4,4,11/23/19
TAG071,4,5,5,3,5,5,4.5,10/13/19
TAG072,2,2,4,7,2,2,3.166666667,4/10/21
TAG073,5,6,7,6,5,6,5.833333333,1/25/20
TAG074,4,2,6,2,3,2,3.166666667,7/19/21
TAG075,5,3,4,2,6,2,3.666666667,11/17/19
TAG076,3,6,6,5,6,6,5.333333333,9/29/19
TAG077,4,4,4,4,4,4,4,5/18/21
TAG078,4,5,6,5,5,6,5.166666667,11/24/19
TAG080,2,2,6,2,2,2,2.666666667,1/26/20
TAG084,5,5,5,1,7,6,4.833333333,7/24/19
TAG085,2,5,3,3,4,5,3.666666667,8/12/19
TAG086,4,6,4,2,5,4,4.166666667,7/29/19
TAG087,5,4,5,2,5,2,3.833333333,6/21/21
TAG088,5,5,6,4,6,5,5.166666667,11/10/19
TAG089,1,1,1,1,1,4,1.5,6/24/19
TAG090,4,5,4,6,5,2,4.333333333,8/6/19
TAG093,3,1,2,1,2,1,1.666666667,10/9/19
TAG094,4,5,5,4,4,4,4.333333333,6/24/19
TAG095,1,1,1,1,1,1,1,12/7/20
TAG098,2,2,2,2,2,2,2,1/26/20
TAG099,3,3,4,3,3,3,3.166666667,2/29/20
TAG100,4,4,4,4,4,4,4,12/15/19
TAG101,2,2,5,3,4,2,3,2/22/21
TAG102,3,3,2,6,2,2,3,12/14/19
TAG103,2,4,2,2,2,4,2.666666667,2/23/21
TAG104,6,6,6,6,7,7,6.333333333,10/12/19
TAG106,2,2,5,2,3,2,2.666666667,3/4/21
TAG110,5,5,5,2,2,5,4,5/13/21
TAG111,5,5,5,4,4,4,4.5,3/8/20
TAG112,5,6,5,3,5,5,4.833333333,2/22/20
TAG113,3,3,5,5,5,3,4,1/11/20
TAG116,NA,NA,NA,NA,NA,NA,NA,5/27/21
TAG117,5,4,6,6,6,2,4.833333333,1/11/20
TAG119,5,3,3,2,5,2,3.333333333,11/2/19
TAG120,7,7,7,7,7,6,6.833333333,1/15/21
TAG122,NA,NA,NA,NA,NA,NA,NA,1/10/21
TAG124,1,2,1,1,1,1,1.166666667,9/7/21
TAG130,3,2,4,2,5,2,3,12/2/19
TAG132,7,6,2,3,6,6,5,2/29/20
TAG138,5,5,5,3,3,5,4.333333333,11/16/19
TAG140,4,5,5,3,5,5,4.5,11/2/19
TAG144,5,1,6,2,6,2,3.666666667,2/9/20
TAG147,4,2,4,3,3,4,3.333333333,12/15/20
TAG149,2,3,5,2,2,2,2.666666667,8/17/19
TAG152,2,1,1,2,2,2,1.666666667,1/18/21
TAG155,2,4,4,3,4,4,3.5,8/23/21
TAG159,4,4,4,4,4,4,4,9/6/19
TAG160,2,5,6,2,5,2,3.666666667,9/14/19
TAG164,5,5,4,2,5,5,4.333333333,9/7/19
TAG167,5,6,6,6,6,6,5.833333333,2/22/20
TAG169,3,6,6,5,5,6,5.166666667,12/8/19
TAG173,3,5,4,3,5,4,4,1/9/21
TAG176,4,1,3,2,3,1,2.333333333,3/27/21
TAG179,6,6,7,6,6,6,6.166666667,5/20/21
TAG180,1,1,2,2,1,1,1.333333333,3/18/21
TAG181,6,6,6,4,6,6,5.666666667,10/6/19
TAG186,5,5,5,3,5,4,4.5,1/14/21
TAG190,1,1,7,1,7,1,3,3/9/21
TAG192,3,2,6,6,2,4,3.833333333,3/7/20
TAG200,1,1,1,1,1,1,1,6/9/21
TAG202,5,5,5,5,6,4,5,3/11/21
TAG203,5,2,2,2,5,2,3,7/3/21
TAG205,3,3,3,5,3,2,3.166666667,1/9/21
TAG207,1,1,1,1,1,7,2,2/28/21
TAG208,2,3,4,3,5,3,3.333333333,11/29/20
TAG210,3,3,3,3,4,3,3.166666667,2/1/20
TAG215,4,5,5,3,5,4,4.333333333,9/17/21
TAG218,2,3,2,2,2,2,2.166666667,7/25/21
TAG220,2,2,2,2,2,2,2,4/23/21
TAG221,4,5,6,2,4,4,4.166666667,4/9/21
TAG223,1,2,2,2,3,1,1.833333333,6/20/21
TAG225,1,1,2,2,2,1,1.5,7/11/21
TAG238,2,5,4,3,4,3,3.5,6/18/21
TAG243,4,4,5,1,6,1,3.5,7/17/21
TAG247,2,2,2,2,2,2,2,7/29/21
TAG250,2,2,2,2,2,3,2.166666667,6/6/21
TAG252,5,2,2,1,2,2,2.333333333,8/6/21
TAG253,2,2,1,2,2,2,1.833333333,7/17/21
TAG261,1,1,7,7,3,1,3.333333333,7/14/21
