,tagid,survey_name,K_SRQ_1,K_SRQ_10,K_SRQ_11,K_SRQ_12,K_SRQ_13,K_SRQ_14,K_SRQ_15,K_SRQ_16,K_SRQ_17,K_SRQ_18,K_SRQ_19,K_SRQ_2,K_SRQ_20,K_SRQ_21,K_SRQ_22,K_SRQ_23,K_SRQ_3,K_SRQ_4,K_SRQ_5,K_SRQ_6,K_SRQ_7,K_SRQ_8,K_SRQ_9,survey_type,survey_date,KSRQ_adm_mean,KSRQ_negsoc_mean,KSRQ_pass_mean,KSRQ_prosoc_mean,KSRQ_sex_mean,KSRQ_social_mean
1,TAG001,W3S1 - V2,6,6,5,1,2,4,6,1,5,7,4,6,1,7,1,NA,3,4,1,6,5,2,4,Sess 1,1/18/19,5.25,1.8,1,6.4,4,4.667
2,TAG002,W3S1 - Current V1,6,6,5,2,2,4,6,2,5,6,4,7,3,6,4,NA,2,4,2,6,4,2,6,Sess 1,1/2/19,5,2,3,6.2,5,4.667
3,TAG003,W3S1 - V4,6,6,6,4,4,7,3,1,6,6,6,6,4,7,1,6,4,6,5,6,6,4,5,Sess 1,8/28/19,6,3.6,3,5.6,5.667,6.333
4,TAG004,W3S1 - Current V1,5,6,5,3,1,5,6,1,4,7,5,6,2,6,4,NA,2,7,4,6,6,2,4,Sess 1,1/8/19,5,2,3,6.2,4.5,6
5,TAG005,W3S1 - V4,4,3,4,2,1,6,6,1,4,6,3,4,1,6,2,1,2,2,2,6,5,1,7,Sess 1,9/30/19,4.25,1.4,1.667,5.6,3.667,3.667
6,TAG007,W3S1 - V4,7,5,6,3,1,3,6,1,5,7,5,7,3,7,4,6,1,5,2,6,5,1,4,Sess 1,7/24/19,5.75,1.2,3.333,6.6,5,4.333
7,TAG008,W3S1 - V2,6,5,5,1,2,5,7,2,6,7,7,6,1,6,1,NA,2,7,5,6,6,5,4,Sess 1,1/12/19,5.75,3.2,1,6.4,5.5,5.667
8,TAG009,W3S1 - V4,6,6,4,2,2,5,5,1,6,7,5,7,2,7,2,6,5,2,2,7,4,1,6,Sess 1,10/16/19,5,2.2,2,6.6,5.667,4.333
9,TAG010,W3S1 - V4,6,6,5,2,1,6,7,1,5,7,2,7,1,7,3,4,2,6,2,6,6,2,3,Sess 1,8/10/19,5.5,1.6,2,6.8,3,6
10,TAG011,W3S1 - V4,6,6,5,2,1,5,7,1,5,7,5,7,1,7,6,7,1,3,2,7,6,2,1,Sess 1,9/4/19,5.5,1.4,3,7,4.333,4.667
11,TAG014,W3S1 - Current V5,7,2,6,2,2,2,6,2,3,7,2,7,5,6,2,2,2,4,2,6,4,2,2,Sess 1,12/17/19,5,2,3,6.4,2,2.667
12,TAG015,W3S1 - Current V5,6,6,6,3,2,3,6,1,5,7,5,7,2,6,2,2,2,5,3,5,5,1,5,Sess 1,11/30/19,5.5,1.8,2.333,6.2,4,4.667
13,TAG016,W3S1 - V2,5,5,7,5,3,3,6,3,5,5,2,3,5,6,5,NA,5,4,2,6,7,3,3,Sess 1,3/21/19,6,3.2,5,5.2,2.5,4
14,TAG017,W3S1 - Current V5,6,6,4,4,2,4,6,1,4,6,1,6,4,6,4,1,2,4,2,6,4,2,4,Sess 1,2/16/20,4.5,1.8,4,6,2,4.667
15,TAG018,W3S1 - V4,7,7,4,1,1,4,7,1,4,7,5,7,1,7,1,5,1,6,1,7,4,1,4,Sess 1,7/31/19,4.75,1,1,7,4.667,5.667
16,TAG019,W3S1 - V2,7,5,7,2,3,6,7,1,6,7,5,7,1,7,4,NA,3,5,2,6,7,2,5,Sess 1,4/13/19,6.75,2.2,2.333,6.8,5,5.333
17,TAG020,W3S1 - V2,7,3,5,2,2,4,7,1,3,7,7,6,3,7,1,NA,4,4,2,6,5,3,7,Sess 1,3/1/19,5,2.4,2,6.6,7,3.667
18,TAG022,W3S1 - V2,6,6,6,2,1,5,6,1,6,7,2,7,1,7,3,NA,1,2,1,6,6,1,4,Sess 1,2/18/19,6,1,2,6.6,3,4.333
19,TAG024,W3S1 - Past V6,6,2,4,1,1,6,4,3,1,6,5,6,2,6,2,6,5,2,2,6,2,2,2,Sess 1,2/1/21,3.25,2.6,1.667,5.6,4.333,3.333
20,TAG026,W3S1 - Current V1,7,6,6,2,2,6,6,1,6,7,5,7,1,7,2,NA,2,6,2,6,6,2,6,Sess 1,1/4/19,6.25,1.8,1.667,6.6,5.5,6
21,TAG027,W3S1 - V4,6,5,5,2,2,2,6,3,5,6,3,7,3,7,3,7,3,1,1,6,5,2,2,Sess 1,7/10/19,5.25,2.2,2.667,6.4,4,2.667
22,TAG028,W3S1 - V4,7,4,6,2,4,7,6,3,7,7,6,6,1,7,5,7,3,2,3,6,4,4,6,Sess 1,8/22/19,6,3.4,2.667,6.4,6.333,4.333
23,TAG030,W3S1 - V2,7,5,7,3,1,6,7,1,4,7,1,7,3,7,4,NA,1,7,1,6,6,1,4,Sess 1,2/18/19,6,1,3.333,6.8,2.5,6
24,TAG032,W3S1 - V4,5,5,5,5,2,6,6,1,6,7,3,6,5,6,5,4,2,3,3,6,5,2,6,Sess 1,8/2/19,5.25,2,5,6.2,4.333,4.667
25,TAG033,W3S1 - V2,6,6,7,2,1,6,6,1,7,7,3,7,4,7,2,NA,2,5,2,7,6,2,6,Sess 1,3/26/19,6.5,1.6,2.667,6.8,4.5,5.667
26,TAG034,W3S1 - V2,7,6,6,2,1,2,7,1,6,7,3,7,2,7,2,NA,2,5,1,6,6,2,6,Sess 1,3/14/19,6.25,1.4,2,6.8,4.5,4.333
27,TAG035,W3S1 - V2,6,6,4,3,2,2,7,1,4,7,3,7,1,6,3,NA,2,3,2,7,6,2,7,Sess 1,1/31/19,5,1.8,2.333,6.8,5,3.667
28,TAG036,W3S1 - V4,7,7,7,1,1,7,7,1,7,7,5,7,2,7,1,6,1,6,1,4,6,1,5,Sess 1,7/23/19,6.75,1,1.333,6.4,5.333,6.667
29,TAG037,W3S1 - V2,7,6,6,2,1,5,7,1,6,7,5,7,2,7,2,NA,1,6,2,7,6,2,6,Sess 1,3/28/19,6.25,1.4,2,7,5.5,5.667
30,TAG038,W3S1 - V4,7,7,6,2,1,6,7,1,4,7,4,7,3,7,4,4,1,6,1,4,6,1,4,Sess 1,8/8/19,5.75,1,3,6.4,4,6.333
