SID,K_SRQ_19,K_SRQ_23,K_SRQ_9,survey_date,KSRQ_sex_mean
TAG001,4,NA,4,1/18/19,4
TAG002,4,NA,6,1/2/19,5
TAG003,6,6,5,8/28/19,5.667
TAG004,5,NA,4,1/8/19,4.5
TAG005,3,1,7,9/30/19,3.667
TAG007,5,6,4,7/24/19,5
TAG008,7,NA,4,1/12/19,5.5
TAG009,5,6,6,10/16/19,5.667
TAG010,2,4,3,8/10/19,3
TAG011,5,7,1,9/4/19,4.333
TAG014,2,2,2,12/17/19,2
TAG015,5,2,5,11/30/19,4
TAG016,2,NA,3,3/21/19,2.5
TAG017,1,1,4,2/16/20,2
TAG018,5,5,4,7/31/19,4.667
TAG019,5,NA,5,4/13/19,5
TAG020,7,NA,7,3/1/19,7
TAG022,2,NA,4,2/18/19,3
TAG024,5,6,2,2/1/21,4.333
TAG026,5,NA,6,1/4/19,5.5
TAG027,3,7,2,7/10/19,4
TAG028,6,7,6,8/22/19,6.333
TAG030,1,NA,4,2/18/19,2.5
TAG032,3,4,6,8/2/19,4.333
TAG033,3,NA,6,3/26/19,4.5
TAG034,3,NA,6,3/14/19,4.5
TAG035,3,NA,7,1/31/19,5
TAG036,5,6,5,7/23/19,5.333
TAG037,5,NA,6,3/28/19,5.5
TAG038,4,4,4,8/8/19,4
TAG040,5,7,4,9/25/19,5.333
TAG041,6,6,6,5/13/19,6
TAG042,4,4,4,7/31/19,4
TAG044,6,NA,6,4/18/19,6
TAG045,4,4,4,7/16/19,4
TAG046,4,4,4,9/27/19,4
TAG047,4,1,4,9/18/19,3
TAG048,6,5,6,11/30/19,5.667
TAG049,4,4,4,8/26/19,4
TAG050,3,NA,1,4/15/19,2
TAG051,5,NA,5,3/29/19,5
TAG052,5,6,1,7/19/19,4
TAG053,6,4,7,5/31/19,5.667
TAG054,4,4,4,6/7/19,4
TAG055,1,NA,4,4/29/19,2.5
TAG056,5,7,4,8/21/19,5.333
TAG057,5,NA,4,3/26/19,4.5
TAG058,7,NA,3,5/9/19,5
TAG059,7,7,7,6/20/19,7
TAG060,4,NA,4,4/11/19,4
TAG062,1,6,7,8/26/19,4.667
TAG064,5,6,6,5/23/19,5.667
TAG065,6,7,5,6/4/19,6
TAG066,4,4,5,6/22/19,4.333
TAG067,6,NA,4,3/26/19,5
TAG068,4,4,4,12/3/19,4
TAG069,1,NA,4,4/13/19,2.5
TAG070,4,4,4,10/28/19,4
TAG071,4,4,5,8/23/19,4.333
TAG072,5,5,5,3/30/21,5
TAG073,7,4,6,12/30/19,5.667
TAG074,4,2,3,6/25/21,3
TAG075,6,6,5,10/17/19,5.667
TAG076,6,6,6,9/5/19,6
TAG078,6,5,5,10/29/19,5.333
TAG080,4,4,4,12/30/19,4
TAG084,6,4,6,6/26/19,5.333
TAG085,7,7,7,7/18/19,7
TAG086,4,4,6,7/1/19,4.667
TAG087,5,5,4,5/27/21,4.667
TAG088,5,6,6,10/12/19,5.667
TAG089,1,1,5,5/28/19,2.333
TAG090,4,5,4,7/9/19,4.333
TAG093,5,6,6,8/22/19,5.667
TAG094,4,4,4,5/21/19,4
TAG095,2,5,4,11/15/20,3.667
TAG098,1,1,2,12/23/19,1.333
TAG099,4,4,4,1/31/20,4
TAG100,5,4,5,11/21/19,4.667
TAG101,6,6,5,2/1/21,5.667
TAG102,2,2,2,11/19/19,2
TAG103,3,4,2,2/4/21,3
TAG104,5,4,6,9/11/19,5
TAG105,3,3,5,1/29/20,3.667
TAG106,6,4,6,2/17/21,5.333
TAG110,5,4,5,4/14/21,4.667
TAG111,6,6,5,2/3/20,5.667
TAG112,6,4,6,2/1/20,5.333
TAG113,4,4,6,12/13/19,4.667
TAG116,4,4,4,5/7/21,4
TAG117,5,4,5,12/5/19,4.667
TAG119,2,1,3,9/26/19,2
TAG120,7,7,7,12/24/20,7
TAG122,5,4,5,12/7/20,4.667
TAG124,2,1,1,8/9/21,1.333
TAG127,1,1,1,7/10/21,1
TAG130,4,4,4,11/5/19,4
TAG131,5,4,4,2/22/20,4.333
TAG132,6,7,7,2/8/20,6.667
TAG138,5,4,4,10/14/19,4.333
TAG140,4,4,4,10/11/19,4
TAG141,2,1,6,2/5/20,3
TAG144,6,6,2,1/6/20,4.667
TAG147,6,4,6,12/4/20,5.333
TAG149,5,6,6,7/26/19,5.667
TAG152,4,3,5,12/21/20,4
TAG155,5,4,5,7/27/21,4.667
TAG159,5,5,6,8/9/19,5.333
TAG160,6,7,7,8/8/19,6.667
TAG164,6,7,5,8/16/19,6
TAG167,4,4,6,1/24/20,4.667
TAG169,6,7,6,10/20/19,6.333
TAG173,6,NA,6,12/14/20,6
TAG176,5,3,2,3/7/21,3.333
TAG177,4,5,5,10/18/19,4.667
TAG179,5,6,7,5/6/21,6
TAG180,3,2,2,2/20/21,2.333
TAG181,5,6,5,9/13/19,5.333
TAG186,2,4,4,1/15/21,3.333
TAG188,1,4,4,1/14/21,3
TAG190,7,5,6,2/17/21,6
TAG192,5,5,5,2/11/20,5
TAG194,6,4,6,2/12/20,5.333
TAG200,1,1,1,5/13/21,1
TAG202,6,7,6,1/26/21,6.333
TAG203,6,6,5,6/24/21,5.667
TAG205,4,4,3,11/29/20,3.667
TAG207,7,7,7,3/1/21,7
TAG208,5,4,5,11/25/20,4.667
TAG209,1,1,1,2/25/20,1
TAG210,5,4,3,12/23/19,4
TAG211,5,5,7,2/25/20,5.667
TAG215,5,4,6,9/17/21,5
TAG218,3,4,4,7/20/21,3.667
TAG220,2,4,6,4/8/21,4
TAG221,4,5,5,3/19/21,4.667
TAG223,3,1,4,6/2/21,2.667
TAG224,5,7,5,8/4/21,5.667
TAG225,5,5,3,7/7/21,4.333
TAG232,4,2,6,7/19/21,4
TAG238,3,4,4,5/21/21,3.667
TAG243,4,6,6,7/7/21,5.333
TAG247,2,2,2,7/27/21,2
TAG250,5,2,6,6/4/21,4.333
TAG252,6,4,6,7/24/21,5.333
TAG253,2,4,4,6/29/21,3.333
TAG257,4,4,7,7/15/21,5
TAG261,1,1,1,7/14/21,1
