SID,ran_slope,fix_slope,Tslope
TAG001,-0.193003973,0.20098,0.007976027
TAG003,0.10929574,0.20098,0.31027574
TAG005,0.179749995,0.20098,0.380729995
TAG007,0.051687743,0.20098,0.252667743
TAG008,-0.030915399,0.20098,0.170064601
TAG009,-0.04383813,0.20098,0.15714187
TAG010,0.079859151,0.20098,0.280839151
TAG011,0.333779915,0.20098,0.534759915
TAG014,-0.198766421,0.20098,0.002213579
TAG015,0.10853547,0.20098,0.30951547
TAG016,-0.124486432,0.20098,0.076493568
TAG018,-0.08888025,0.20098,0.11209975
TAG019,0.381856937,0.20098,0.582836937
TAG020,-0.04234958,0.20098,0.15863042
TAG022,-0.056385341,0.20098,0.144594659
TAG024,-0.22591799,0.20098,-0.02493799
TAG026,0.034285555,0.20098,0.235265555
TAG027,0.08095093,0.20098,0.28193093
TAG028,0.211988794,0.20098,0.412968794
TAG030,0.045699669,0.20098,0.246679669
TAG032,0.025948574,0.20098,0.226928574
TAG033,0.421166388,0.20098,0.622146388
TAG034,-0.24919995,0.20098,-0.04821995
TAG035,-0.127270462,0.20098,0.073709538
TAG036,-0.247657159,0.20098,-0.046677159
TAG037,0.379075013,0.20098,0.580055013
TAG038,0.036538929,0.20098,0.237518929
TAG040,0.008488752,0.20098,0.209468752
TAG041,0.181608013,0.20098,0.382588013
TAG042,0.198810619,0.20098,0.399790619
TAG044,0.473726091,0.20098,0.674706091
TAG045,0.034977235,0.20098,0.235957235
TAG046,0.034967197,0.20098,0.235947197
TAG047,0.182410222,0.20098,0.383390222
TAG048,-0.243175004,0.20098,-0.042195004
TAG049,0.074125813,0.20098,0.275105813
TAG050,-0.018274062,0.20098,0.182705938
TAG051,0.445519349,0.20098,0.646499349
TAG052,-0.112387808,0.20098,0.088592192
TAG053,-0.119834688,0.20098,0.081145312
TAG054,0.113321508,0.20098,0.314301508
TAG055,0.154601976,0.20098,0.355581976
TAG056,0.193097314,0.20098,0.394077314
TAG057,-0.053020203,0.20098,0.147959797
TAG058,0.201837285,0.20098,0.402817285
TAG059,0.161972916,0.20098,0.362952916
TAG060,0.534144034,0.20098,0.735124034
TAG062,0.033237313,0.20098,0.234217313
TAG064,-0.128576678,0.20098,0.072403322
TAG065,0.110183187,0.20098,0.311163187
TAG066,-0.115997381,0.20098,0.084982619
TAG067,-0.146099124,0.20098,0.054880876
TAG068,-0.223113912,0.20098,-0.022133912
TAG069,-0.070053866,0.20098,0.130926134
TAG070,0.097277542,0.20098,0.298257542
TAG071,0.067734207,0.20098,0.268714207
TAG072,-0.17632799,0.20098,0.02465201
TAG073,0.006452222,0.20098,0.207432222
TAG074,0.127771708,0.20098,0.328751708
TAG075,-0.030334729,0.20098,0.170645271
TAG076,0.125860373,0.20098,0.326840373
TAG078,-0.019062067,0.20098,0.181917933
TAG080,-0.111780867,0.20098,0.089199133
TAG084,0.140766829,0.20098,0.341746829
TAG085,0.025759814,0.20098,0.226739814
TAG086,0.053847301,0.20098,0.254827301
TAG087,0.031126116,0.20098,0.232106116
TAG088,0.086510672,0.20098,0.287490672
TAG089,-0.103507045,0.20098,0.097472955
TAG090,-0.158898663,0.20098,0.042081337
TAG093,0.063901819,0.20098,0.264881819
TAG094,-0.245722435,0.20098,-0.044742435
TAG095,0.010298828,0.20098,0.211278828
TAG098,-0.029661066,0.20098,0.171318934
TAG099,-0.048934531,0.20098,0.152045469
TAG100,0.147140849,0.20098,0.348120849
TAG101,-0.343712232,0.20098,-0.142732232
TAG102,-0.133600455,0.20098,0.067379545
TAG103,-0.01206986,0.20098,0.18891014
TAG104,0.154965023,0.20098,0.355945023
TAG106,0.056252772,0.20098,0.257232772
TAG110,-0.039772933,0.20098,0.161207067
TAG111,-0.13503903,0.20098,0.06594097
TAG112,0.055442097,0.20098,0.256422097
TAG113,-0.124293769,0.20098,0.076686231
TAG116,0.038297817,0.20098,0.239277817
TAG117,-0.185690801,0.20098,0.015289199
TAG119,0.04249992,0.20098,0.24347992
TAG120,-0.121038056,0.20098,0.079941944
TAG122,0.104410483,0.20098,0.305390483
TAG124,-0.208617469,0.20098,-0.007637469
TAG130,-0.107719584,0.20098,0.093260416
TAG132,-0.018288599,0.20098,0.182691401
TAG138,0.058532219,0.20098,0.259512219
TAG140,0.026634485,0.20098,0.227614485
TAG144,-0.006818052,0.20098,0.194161948
TAG147,0.010413412,0.20098,0.211393412
TAG149,-0.015531385,0.20098,0.185448615
TAG152,-0.068709978,0.20098,0.132270022
TAG155,-0.026313765,0.20098,0.174666235
TAG159,0.216348694,0.20098,0.417328694
TAG160,0.169424557,0.20098,0.370404557
TAG164,0.228240405,0.20098,0.429220405
TAG167,-0.173195239,0.20098,0.027784761
TAG169,-0.120468841,0.20098,0.080511159
TAG173,-0.288487137,0.20098,-0.087507137
TAG176,-0.174572871,0.20098,0.026407129
TAG179,-0.04800463,0.20098,0.15297537
TAG180,-0.217930652,0.20098,-0.016950652
TAG181,0.197412217,0.20098,0.398392217
TAG186,-0.075791122,0.20098,0.125188878
TAG190,0.030577344,0.20098,0.231557344
TAG192,0.032869235,0.20098,0.233849235
TAG200,-0.06823797,0.20098,0.13274203
TAG202,-0.287596341,0.20098,-0.086616341
TAG203,-0.173576084,0.20098,0.027403916
TAG205,-0.168722058,0.20098,0.032257942
TAG207,0.059833934,0.20098,0.260813934
TAG208,-0.040892464,0.20098,0.160087536
TAG210,-0.143529712,0.20098,0.057450288
TAG215,0.011303079,0.20098,0.212283079
TAG218,-0.042879329,0.20098,0.158100671
TAG220,0.03133851,0.20098,0.23231851
TAG221,0.048216698,0.20098,0.249196698
TAG223,-0.207506957,0.20098,-0.006526957
TAG225,-0.085397787,0.20098,0.115582213
TAG238,-0.087593252,0.20098,0.113386748
TAG243,-0.190836504,0.20098,0.010143496
TAG247,-0.013164166,0.20098,0.187815834
TAG250,-0.108688334,0.20098,0.092291666
TAG252,-0.033432281,0.20098,0.167547719
TAG253,-0.043789876,0.20098,0.157190124
TAG261,-0.049966027,0.20098,0.151013973
