SID,current_age
3,15.00
7,14.92
17,14.00
19,15.17
20,14.42
24,13.00
27,15.33
30,13.33
32,15.08
34,14.58
38,12.25
40,13.75
45,13.67
46,12.50
47,13.75
48,14.50
50,15.33
53,15.17
57,14.67
59,14.33
60,13.42
62,12.50
68,13.67
74,12.17
76,14.83
77,12.00
80,14.33
81,12.83
84,13.92
85,14.58
86,13.92
87,12.67
89,14.08
101,14.08
102,14.92
103,14.33
106,12.00
110,12.17
120,14.17
131,14.00
132,14.25
138,13.50
140,14.92
141,14.25
164,14.83
167,14.83
176,14.25
179,12.75
180,15.00
186,15.08
188,11.92
200,12.75
202,13.83
203,14.50
205,14.75
207,13.50
210,13.92
220,12.33
223,12.08
224,11.92
238,13.08
300,15.00
301,13.58
302,13.67
303,13.33
304,13.83
306,13.08
307,13.58
309,13.75
311,13.58
312,12.08
315,13.42
