SID,mate_seeking,average.srq
2,2.833333333,6
3,4.5,6
7,3.666666667,4.666666667
17,1.333333333,3.333333333
19,4.666666667,4.333333333
20,1.833333333,5.666666667
24,NA,4.333333333
27,4.666666667,7
30,1,NA
32,2.166666667,4
34,5,4.333333333
40,5,6.333333333
41,5.833333333,7
45,3.166666667,4
46,3.666666667,2.666666667
47,2.5,1.666666667
48,2.333333333,6.333333333
50,5,3.333333333
53,6.166666667,6
57,5.166666667,5.666666667
59,3.333333333,7
60,3.166666667,4
62,5.833333333,5
68,3.833333333,5.333333333
74,2.166666667,3.333333333
76,3.833333333,3
77,4.166666667,2
80,2.166666667,2.666666667
81,2.5,4.333333333
84,4.166666667,4.333333333
85,4.5,6
86,3,4
87,2.166666667,4
89,4,1
101,5,5.666666667
102,3.5,2.666666667
103,3.333333333,5.333333333
106,3.333333333,2.333333333
110,5.166666667,3
120,5.833333333,5.333333333
122,2.833333333,4.333333333
131,2,3.333333333
132,6,6.333333333
138,5.166666667,NA
140,2.666666667,3
141,2.5,1.666666667
164,4.5,5
167,4.5,4.666666667
176,3.833333333,3
179,5.5,3.333333333
180,3.333333333,4.666666667
186,3.166666667,4.666666667
188,3.333333333,3
200,5,1.333333333
202,2.333333333,6
203,3.666666667,5
205,3.666666667,5.333333333
207,4.5,4.666666667
210,3.833333333,3
220,2,3
223,2.166666667,2.666666667
224,2.666666667,2.333333333
225,3.833333333,4.333333333
238,2.333333333,2.666666667
301,2.5,2.666666667
303,6,7
304,4.333333333,3.666666667
305,5.333333333,4.666666667
306,2.833333333,3.333333333
307,3.333333333,3.333333333
309,3.666666667,4
311,4.833333333,3.333333333
312,3.666666667,3.666666667
313,3,4.666666667
314,1,1
316,1.833333333,1.333333333
317,1,1.333333333
