SID,PDS_F1,PDS_F2,PDS_F3,PDS_F4,PDS_F5,PDS_F6,PDS_F9,PDS_F10,PDS_F7,PDS_F8,PBIP_1A,PBIP_1B,PBIP_2A,PBIP_2B,FSMI_1,FSMI_2,FSMI_3,FSMI_4,FSMI_4_5_TEXT,FSMI_5,FSMI_6,FSMI_6_4_TEXT,FSMI_7_37,FSMI_7_38,FSMI_7_39,FSMI_7_40,FSMI_7_41,FSMI_7_42,K_SRQ_9,K_SRQ_19,K_SRQ_23,K_SOIR_1,K_SOIR_2,K_SOIR_4,K_SOIR_5,K_SOIR_6,K_SOIR_7,K_SOIR_8,K_SOIR_9,K_SOIR_10,K_SOIR_11,K_SOIR_12
2,4,4,4,4,4,1,10/12/16,2/24/20,15,7,5,5,5,5,1,1,2,1,,5,2,,6,1,4,7,4,1,6,6,6,2,2,1,1,1,3,1,5,1,2,1
3,4,3,3,4,3,1,11/15/16,12/30/18,15,10,5,5,3,3,2,,3,1,,5,2,,5,4,3,3,4,4,6,6,6,1,1,,,,,,,,,
7,4,4,3,4,3,1,17-Sep,10/9/18,21,12,4,5,5,4,2,,0,1,,5,2,,2,5,4,6,4,5,5,5,4,2,,,,,,,,,,
17,1,4,4,2,3,1,7/25/17,5/19/19,13,9,3,4,4,5,4,,,,,,2,,2,2,7,7,7,1,2,4,4,2,,,,,,,,,,
19,4,4,2,4,2,1,november 5th 2015,november 15th 2018,15,8,5,4,5,4,3,,,1,,5,2,,5,4,3,4,2,4,5,4,4,2,,,,,,,,,,
20,4,4,4,4,2,1,august 27th 2015,november 13th 2018,20,11,4,5,5,4,1,2,3,1,,4,2,,2,2,5,7,6,1,6,4,7,1,2,3,3,1,4,2,2,2,1,1
24,3,3,2,2,4,0,,,17,9,3,4,4,3,2,,4,5,bisexual and unsure,3,2,,,,,,,,4,5,4,2,2,1,1,1,3,2,5,2,2,1
27,4,4,3,4,1,1,"December 20th, 2015",1/10/19,16,13,5,5,5,5,1,1,4,3,,2,1,,5,5,2,6,2,4,7,7,7,1,1,,,,,,,,,
30,3,3,2,3,3,1,july 26 2017,october 4th 2018,21,10,4,3,4,3,4,,,1,,5,2,,1,1,7,7,7,1,,,,,,,,,,,,,,
32,4,4,3,4,2,1,7/4/16,1/19/19,14,15,5,4,5,4,4,,,,,,2,,2,2,6,6,5,2,5,3,4,2,,,,,,,,,,
