SID,correct_response,context,optimal_response,stim_gender,stim_chosen,reward_possible,,,,,mating,neutral,status,
2,39,status,39,m,20,5,,,,2,#of80s,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,39,neutral,37,m,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,37,status,39,m,20,1,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,37,mating,37,f,20,5,,,,,,,,
2,39,mating,39,m,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,status,39,m,20,5,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,37,neutral,37,m,20,1,,,,,,,,
2,37,status,39,m,20,5,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,37,status,37,f,20,1,,,,,,,,
2,37,status,39,m,20,1,,,,,,,,
2,39,mating,39,m,20,1,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,39,status,39,m,20,5,,,,,,,,
2,39,mating,39,m,20,5,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,mating,37,f,20,5,,,,,,,,
2,39,status,39,m,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,37,mating,37,f,20,1,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,39,status,39,m,20,1,,,,,,,,
2,39,neutral,37,m,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,status,39,m,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,37,mating,37,f,20,1,,,,,,,,
2,37,neutral,37,m,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,neutral,37,m,20,1,,,,,,,,
2,37,status,37,f,20,1,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,39,status,37,f,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,37,neutral,39,f,20,5,,,,,,,,
2,37,neutral,39,f,20,1,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,39,status,39,m,20,5,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,39,status,37,f,20,1,,,,,,,,
2,39,neutral,37,m,20,1,,,,,,,,
2,39,status,39,m,20,1,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,mating,37,f,20,5,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,39,status,39,m,20,5,,,,,,,,
2,39,neutral,37,m,20,5,,,,,,,,
2,37,status,39,m,20,1,,,,,,,,
2,39,neutral,37,m,20,5,,,,,,,,
2,37,neutral,39,f,20,1,,,,,,,,
2,37,neutral,37,m,20,1,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,37,status,37,f,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,neutral,37,m,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,39,mating,37,f,20,1,,,,,,,,
2,37,neutral,39,f,20,5,,,,,,,,
2,39,status,39,m,20,5,,,,,,,,
2,37,status,37,f,20,1,,,,,,,,
2,37,neutral,39,f,20,5,,,,,,,,
2,39,neutral,37,m,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,37,status,39,m,20,1,,,,,,,,
2,37,mating,37,f,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,neutral,37,m,20,5,,,,,,,,
2,37,mating,37,f,20,5,,,,,,,,
2,37,neutral,37,m,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,status,37,f,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,39,status,39,m,20,5,,,,,,,,
2,39,status,39,m,20,5,,,,,,,,
2,37,status,37,f,20,5,,,,,,,,
2,37,status,37,f,20,1,,,,,,,,
2,37,neutral,37,m,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
2,39,status,39,m,20,1,,,,,,,,
2,37,neutral,37,m,20,5,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,39,status,39,m,20,1,,,,,,,,
2,39,neutral,39,f,20,1,,,,,,,,
2,37,status,37,f,20,1,,,,,,,,
2,39,neutral,39,f,20,5,,,,,,,,
