,tagid,survey_name,FSMI_1,FSMI_2,FSMI_3,FSMI_4,FSMI_5,FSMI_6,FSMI_7_1,FSMI_7_10,FSMI_7_11,FSMI_7_12,FSMI_7_13,FSMI_7_14,FSMI_7_15,FSMI_7_16,FSMI_7_17,FSMI_7_18,FSMI_7_19,FSMI_7_2,FSMI_7_20,FSMI_7_21,FSMI_7_22,FSMI_7_23,FSMI_7_24,FSMI_7_25,FSMI_7_26,FSMI_7_27,FSMI_7_28,FSMI_7_29,FSMI_7_3,FSMI_7_30,FSMI_7_31,FSMI_7_32,FSMI_7_33,FSMI_7_34,FSMI_7_35,FSMI_7_36,FSMI_7_37,FSMI_7_38,FSMI_7_39,FSMI_7_4,FSMI_7_40,FSMI_7_41,FSMI_7_42,FSMI_7_43,FSMI_7_5,FSMI_7_44,FSMI_7_45,FSMI_7_46,FSMI_7_47,FSMI_7_48,FSMI_7_49,FSMI_7_50,FSMI_7_51,FSMI_7_52,FSMI_7_53,FSMI_7_6,FSMI_7_54,FSMI_7_61,FSMI_7_7,FSMI_7_8,FSMI_7_9,self_protection,disease_avoidance,group_affiliation,exclusion_concern_affiliation,independence_affiliation,status,mate_seeking,general_mate_retention,breakup_concern_mate_retention,survey_type,survey_date
1,TAG001,W3S2 - V1,2,1,1,1,5,2,6,4,4,4,4,4,5,4,4,3,6,6,5,4,3,2,4,4,2,4,4,4,4,4,5,5,3,4,5,4,2,2,3,5,3,3,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,5,5,4,5.5,4.333333333,4,4,3.666666667,4.333333333,2.5,NA,NA,Sess 2,2/18/19
2,TAG003,W3S2 - V5,2,3,4,1,4,2,4,4,5,5,4,6,6,5,4,4,4,4,4,4,4,4,4,3,2,2,2,5,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,6,4,6,6,4,6,7,4,4,4,4,4,4,4,4,NA,5,4,4,4.6,4.833333333,4,2.833333333,4,3.666666667,5.833333333,4,Sess 2,10/5/19
3,TAG005,W3S2 - V6,4,NA,NA,1,5,2,4,2,2,2,4,3,3,3,4,5,5,4,3,5,6,6,4,3,1,3,4,5,4,4,4,4,4,4,4,4,2,2,6,5,6,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,6,6,2,4.333333333,3.333333333,3.666666667,4.833333333,3.333333333,4,3.333333333,4,4,Sess 2,10/28/19
4,TAG007,W3S2 - V4,1,4,1,1,4,2,6,2,3,4,4,3,4,3,5,6,3,6,3,5,6,3,5,5,3,5,6,7,7,6,3,3,5,5,6,2,1,1,7,5,7,7,1,7,6,7,7,7,3,7,1,1,1,1,1,6,1,1,4,5,2,6,3.333333333,4.166666667,4.166666667,5.333333333,4,4,6.333333333,1,Sess 2,8/20/19
5,TAG008,W3S2 - V1,2,3,4,3,3,2,6,3,4,3,6,5,NA,2,6,5,6,6,5,6,5,6,6,6,6,5,5,6,3,6,6,5,5,6,6,2,6,6,1,4,3,2,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,4,4.833333333,4,4.8,5.666666667,5.666666667,5,4,NA,NA,Sess 2,2/10/19
6,TAG009,W3S2 - V6,4,NA,NA,1,5,2,5,2,5,5,6,2,5,2,4,6,5,6,6,6,6,4,6,5,5,5,6,7,6,6,4,2,4,4,4,2,2,6,6,5,5,6,6,1,5,6,4,6,6,6,2,2,2,2,2,6,2,2,2,6,2,5.5,3.666666667,4.166666667,5.5,5.666666667,3.333333333,5.166666667,4.833333333,2,Sess 2,11/9/19
7,TAG010,W3S2 - V5,2,NA,2,1,5,2,6,4,4,5,4,3,5,4,6,6,5,6,2,5,2,1,1,3,3,2,4,6,7,4,2,4,2,2,5,2,1,1,4,5,1,2,1,6,6,6,5,5,2,7,1,1,1,1,1,6,1,1,6,5,5,6,4.833333333,4.666666667,2.666666667,3.666666667,2.833333333,1.666666667,5.166666667,1,Sess 2,9/8/19
8,TAG011,W3S2 - V5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sess 2,10/6/19
9,TAG014,W3S2 -  V7,3,NA,NA,NA,NA,2,4,3,4,3,4,4,5,4,4,4,5,4,4,4,5,4,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,7,4,4,4,4,4,4,4,4,5,5,4,4,4,4.166666667,4.333333333,4.666666667,4,4,5.166666667,4,Sess 2,2/2/20
10,TAG015,W3S2 -  V7,3,NA,NA,NA,NA,2,5,6,6,6,6,6,6,5,6,6,5,6,5,5,2,2,2,5,2,2,3,5,6,5,3,5,5,5,5,5,2,2,3,6,2,3,2,6,6,6,6,5,6,7,2,2,2,2,2,6,2,2,2,5,6,5.833333333,5.166666667,5.833333333,3.5,3.666666667,4.666666667,2.333333333,6,2,Sess 2,1/5/20
